bodyparts,ul,ul,ul,br,br,br
coords,x,y,likelihood,x,y,likelihood
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,100,636,0,290,854,1
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,180,725,0,358,861,1
56,164,723,0,357,860,1
57,164,723,0,357,860,1
58,165,725,0,357,860,1
59,165,727,0,357,860,1
60,178,731,0,373,860,1
61,185,733,0,386,860,1
62,190,733,0,395,860,1
63,194,734,0,402,861,1
64,195,735,0,407,863,1
65,196,735,0,408,864,1
66,198,736,0,410,864,1
67,231,756,0,417,864,1
68,240,759,0,419,864,1
69,242,763,0,424,864,1
70,243,763,0,424,864,1
71,254,767,0,429,864,1
72,261,770,0,438,864,1
73,277,772,0,454,863,1
74,288,773,0,465,863,1
75,291,773,0,467,863,1
76,293,773,0,475,862,1
77,298,769,0,478,862,1
78,307,763,0,486,862,1
79,316,763,0,500,862,1
80,321,763,0,500,862,1
81,322,756,0,500,862,1
82,323,756,0,503,862,0
83,353,752,0,515,862,0
84,362,752,0,561,863,1
